Nom;Artiste 1;Artiste 2;Nombre de vues (en millions);Date publication;Origine;Sexe de l’artiste 1;Âge de l’artiste;Genre;Label;Parent;Langue;Durée
Despacito;Luis Fonsi;Daddy Yankee;4313,8;12/01/2017;Porto Rico;Masculin;39;Reggaeton;Universal Music Group;Universal Music Group;Espagnol;03:50
See You Again;Wiz Khalifa;Charlie Puth;3124,1;06/04/2015;USA;Masculin;30;Rap;Atlantic Records;Warner Music Group;Anglais;03:49
Gangnam Style;Psy;;2992,2;15/07/2012;Corée du Sud;Masculin;39;K-pop;YG Entertainment;YG Entertainment;Coréen;04:12
Sorry;Justin Bieber;;2824,2;22/10/2015;Canada;Masculin;23;Pop;Universal Music Group;Universal Music Group;Anglais;03:25
Uptown Funk;Mark Ronson;Bruno Mars;2824,2;19/11/2014;UK;Masculin;42;Funk;Sony Music Entertainment;Sony Music Entertainment;Anglais;04:30
Shape of You;Ed Sheeran;;2699,1;30/01/2017;UK;Masculin;26;Pop;Asylum Records;Warner Music Group;Anglais;03:53
Shake it off;Taylor Swift;;2437,3;18/08/2014;USA;Féminin;28;Pop;Big Machine Records;Indépendant;Anglais;03:39
Bailando;Enrique Iglesias;Descemer Bueno;2421;11/04/2014;Espagne;Masculin;42;Reggaeton;Republic Records;Universal Music Group;Espagnol;04:03
Sugar;Maroon 5;;2400,9;14/01/2015;USA;Masculin;38;Funk;Universal Music Group;Universal Music Group;Anglais;03:55
Roar;Katy Perry;;2338,2;05/09/2013;USA;Féminin;33;Pop;Universal Music Group;Universal Music Group;Anglais;03:42
Lean On;Marjor Lazer;MØ;2215,2;22/03/2015;USA;Masculin;39;Dance;Because Music;Indépendant;Anglais;02:56
Blank Space;Taylor Swift;;2212,4;10/11/2014;USA;Féminin;28;Pop;Big Machine Records;Indépendant;Anglais;03:51
Dark Horse;Katy Perry;Juicy;2160,8;20/02/2014;USA;Féminin;33;Trap;Universal Music Group;Universal Music Group;Anglais;03:35
All About that Bass;Meghan Trainor;;2148,7;11/06/2014;USA;Féminin;24;Pop;Epic Records;Sony Music Entertainment;Anglais;03:08
Hello;Adele;;2121,2;22/10/2015;UK;Féminin;29;Soul;XL Recordings;Indépendant;Anglais;04:55
Counting Stars;OneRepublic;;2007;31/05/2013;USA;Masculin;38;Pop;Interscope Records;Universal Music Group;Anglais;04:17
Chantaje;Shakira;Maluma;1963,3;18/11/2016;Colombie;Féminin;40;Reggaeton;Ace Entertainment;;Espagnol;03:16
Closer;The Chainsmokers;Halsey;1937,7;29/07/2016;USA;Masculin;30;EDM;Disruptor Records;Sony Music Entertainment;Anglais;04:04
Thinking out Loud;Ed Sheeran;;1913,6;07/10/2014;UK;Masculin;26;Soul;Asylum Records;Warner Music Group;Anglais;04:41
This is what you came for;Calvin Harris;Rihanna;1837,6;16/06/2016;UK;Masculin;33;EDM;Columbia Records;Sony Music Entertainment;Anglais;03:41
What do you mean ?;Justin Bieber;;1830;30/08/2015;Canada;Masculin;23;Pop;Def Jam Recordings;Universal Music Group;Anglais;03:26
Baby;Justin Bieber;Ludacris;1746,6;19/02/2010;Canada;Masculin;23;Pop;Def Jam Recordings;Universal Music Group;Anglais;03:36
Work from home;Fifth Harmony;Ty Dolla Sign;1735,4;26/02/2016;USA;Féminin;21;Pop;Sony Music Entertainment;Sony Music Entertainment;Anglais;03:34
Chandelier;Sia;;1723,9;06/05/2014;Australie;Féminin;42;Electropop;RCA Records;Sony Music Entertainment;Anglais;03:36
Rockabye;Clean Bandit;Sean Paul;1660,8;21/10/2016;UK;Masculin;31;Dancehall;Atlantic Records;Warner Music Group;Anglais;04:11
Let Her Go;Passenger;;1659,9;25/07/2012;UK;Masculin;33;Folk pop;Sony Music Entertainment;Sony Music Entertainment;Anglais;04:13
Love me like you do;Ellie Goulding;;1603,1;22/01/2015;UK;Féminin;31;Electropop;Republic Records;Universal Music Group;Anglais;04:12
Waka Waka;Shakira;Freshlyground;1598,3;04/06/2010;Colombie;Féminin;40;Pop;Epic Records;Sony Music Entertainment;Espagnol;03:22
We don’t talk anymore;Charlie Puth;Selena Gomez;1571,5;02/08/2016;USA;Masculin;26;Pop;Atlantic Records;Warner Music Group;Anglais;03:37
Worth it;Fifth Harmony;Kid Ink;1494,6;298/03/2015;USA;Féminin;21;Dance;Epic Records;Sony Music Entertainment;Anglais;03:44
Love the way you lie;Eminem;Rihanna;1431,8;05/08/2010;USA;Masculin;45;Hip-Hop;Interscope Records;Universal Music Group;Anglais;04:23
Treat you better;Shawn Mendes;;1427,3;12/07/2016;Canada;Masculin;29;Pop;Universal Music Group;Universal Music Group;Anglais;03:07
Ay Vamos;J Balvin;;1421;29/08/2014;Colombie;Masculin;32;Reggaeton;Universal Music Latin Entertainment;Universal Music Group;Espagnol;03:46
Watch Me;Silento;;1406,9;25/06/2015;USA;Masculin;19;Hip-Hop;Capitol Records;Universal Music Group;Anglais;03:05
Rude;Magic!;;1405;05/12/2013;Canada;Masculin;36;Pop;RCA Records;Sony Music Entertainment;Anglais;03:44
Wake me up;Avicii;;1403,8;29/07/2013;Suède;Masculin;29;EDM;Columbia Records;Sony Music Entertainment;Anglais;04:09
Faded;Alan Walker;;1382,4;03/12/2015;Norvège;Masculin;19;House;Mer Musikk;Universal Music Group;Anglais;03:32
